Company_Name,Ticker,Sub_Sector,Market_Cap,Close_Price,PE_Ratio,5Y_Historical_Revenue_Growth,1Y_Forward_Revenue_Growth,Total_Revenue,PBT,Taxes_And_Other_Items,DII_Holding_Change_3M,FII_Holding_Change_3M,MF_Holding_Change_3M,Promoter_Holding_Change_3M,Percentage_Buy_Records,No_Of_Analysts_With_Buy_Reco,Percentage Upside,Net_Profit,Profit_Margin,PS_Ratio,Earnings_Yield,Revenue_Growth,Total_Institutional_Holding_Change,Change_Retail_Holding,Composite_Score
Shree Cement Ltd,SHREECEM,Cement,84476.55756,23426.1,36.22587097,11.67424371,11.53775686,15555.45,2891.82,559.88,-0.107824816,0.513160093,-0.555390371,0,32.5,13,-6.941402965,2331.94,18.59039758,5.430672694,0.034232219,-0.03594271,-0.150055094,0.150055094,-4.455367799
Adani Wilmar Ltd,AWL,FMCG - Foods,81912.58258,622.75,101.915547,18.66298651,7.980764864,54385.89,1058.76,255.03,0.091125298,0.127808598,6.96E-05,0,20,1,-6.061822561,803.73,1.94675494,1.506136658,0.012925487,2.49625951,0.219003496,-0.219003496,-24.31338226
Bharat Electronics Ltd,BEL,Electronic Equipments,78463.77536,106.15,32.70864005,11.4396343,14.25910209,15599.72,3166.24,767.37,-2.137835612,1.365603315,-1.236662916,0,78.26086957,18,16.81582666,2398.87,20.29677456,5.029819469,0.040352889,-0.713166044,-2.008895213,2.008895213,-3.783481687
Varun Beverages Ltd,VBL,Soft Drinks,76818.86395,1183.3,110.6804368,18.84126579,41.33215914,9243.19,1006.61,312.55,-0.859477371,1.075998782,-0.874578296,0.001630206,80,12,4.369137159,694.06,10.89028788,8.310860639,0.013103682,-0.407477185,-0.658056885,0.656426679,-25.21392075
SBI Cards and Payment Services Ltd,SBICARD,Payment Infrastructure,76798.20991,817.3,47.51952795,26.62966207,12.93171184,11301.52,2172.16,556.02,0.794297854,0.533456004,0.356039079,-0.221731474,83.33333333,20,32.14242016,1616.14,19.22006951,6.795387692,0.028283993,0.222686107,1.683792937,-1.462061463,-6.598244848
Havells India Ltd,HAVELLS,Electrical Components & Equipments,76484.0134,1234.85,63.92472306,17.45946783,17.43878255,14098.92,1606.56,410.09,0.854912286,0.206399115,-0.499557854,0,46.15384615,18,7.098028101,1196.47,11.39491536,5.424813631,0.021005174,0.247524227,0.561753547,-0.561753547,-12.93013248
Tata Consumer Products Ltd,TATACONSUM,Tea & Coffee,74679.24378,805.05,79.80427427,12.69702801,9.586381047,12565.43,1455.99,520.21,0.912167955,0.264950478,0.285497187,0.004926549,79.16666667,19,6.825663002,935.78,11.58726761,5.943230258,0.019496582,-0.108766487,1.46261562,-1.467542169,-16.71578938
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Refining & Marketing,73876.56646,340.75,6.32423631,11.50961138,31.36397722,351730.5,16036.73,4355.23,0.198011597,-0.210433156,-3.035147619,0,62.5,20,7.410124725,11681.5,4.55937998,0.210037419,0.217074653,26.9919191,-3.047569178,3.047569178,5.544873398
Interglobe Aviation Ltd,INDIGO,Airlines,73704.57373,1911.35,-11.96147471,6.594973761,98.19233786,26656.53,-6153.67,8.16,1.443855119,1.339453395,0.952504754,-2.836921624,76.19047619,16,21.615612,-6161.83,-23.0850377,2.76497255,-0.083491019,-0.924213197,3.735813268,-0.898891644,-2.07799073
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals,73055.6249,4453.35,33.47336765,8.993654878,6.364282191,22099.9,3061.4,878.9,-0.485534661,10.46947863,-1.367142864,-0.004107221,82.05128205,32,11.96065883,2182.5,13.85255137,3.305699343,0.041905055,-0.170938603,8.616801105,-8.612693884,-2.793738445
Tata Power Company Ltd,TATAPOWER,Power Transmission & Distribution,71727.78984,223.45,41.18830742,9.35403403,12.15254127,46099,2535.17,793.71,-0.190580028,0.194648484,0.472681597,0,40,8,5.168941598,1741.46,5.499403458,1.555951102,0.035344321,1.08593704,0.476750053,-0.476750053,-8.531554217
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Asset Management,71136.32808,6395.3,17.53992625,38.79725952,0,4380.18,4225.9,170.22,0.031339653,0.247739513,-0.003890613,0,0,0,0,4055.68,96.47777032,16.24050338,0.059405653,-0.904983188,0.275188553,-0.275188553,19.57701236
SRF Ltd,SRF,Diversified Chemicals,68897.09907,2320.95,36.47433405,20.71905659,20.21344838,12549.17,2585.55,696.63,4.661098479,0.006554794,0.020652113,-0.203062562,80,20,23.87169047,1888.92,20.60335464,5.490171786,0.037527705,1.864989567,4.688305386,-4.485242824,-2.329421113
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres,67855.55626,4719.2,64.2815046,15.4811262,11.124783,15034.9,1578.1,522.5,-0.35708817,0.604570764,1.179008272,0,100,23,9.658416681,1055.6,10.4962454,4.513203032,0.023256754,0.198079236,1.426490866,-1.426490866,-13.04017227
ABB India Ltd,ABB,Heavy Electrical Equipments,65726.35716,3015.2,126.4673706,-3.814746886,19.26261545,7214.96,711.49,191.78,3.307719669,1.863235467,-0.569713679,0,45.83333333,11,6.792252587,519.71,9.861315932,9.109732716,0.010825033,-0.520119189,4.601241457,-4.601241457,-28.1312331
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Insurance,65439.90124,471.1,86.1958657,11.22433807,-37.79583441,64590.61,960.92,201.72,-0.049755607,0.498507334,-0.483531793,-0.054166825,77.41935484,24,37.97495224,759.2,1.487708507,1.013148834,0.014684007,7.95231713,-0.034780066,0.088946891,-19.19765503
United Spirits Ltd,MCDOWELL-N,Alcoholic Beverages,65386.87543,907.45,78.91247337,1.779235448,8.052603504,9748.4,1086.6,258,0.75607656,-0.692203277,0.990447639,0,56.52173913,13,4.137969034,828.6,11.14644454,6.707446907,0.016618014,-0.849074037,1.054320922,-1.054320922,-16.89019549
Marico Ltd,MARICO,FMCG - Personal Products,62792.30745,502.4,51.25902649,12.10147367,-6.892082277,10647,1601,376,1.665507329,-0.160146209,0.154146794,-0.001415045,56.41025641,22,15.44585987,1225,15.03709965,5.89765262,0.025496754,0.092179229,1.659507914,-1.658092869,-8.617559924
GAIL (India) Ltd,GAIL,Gas Distribution,60950.45328,94.15,4.973082993,13.97115055,38.10742463,95706.73,15463.52,3207.45,-1.367912311,-0.126229267,-1.666778231,0.011523987,70,21,16.83483802,12256.07,16.15719187,0.636846053,0.253706399,7.989079553,-3.160919809,3.149395822,4.003067156
Berger Paints India Ltd,BERGEPAINT,Paints,60132.22758,612.2,72.20315023,13.63126387,21.54723037,8830.23,1122.29,289.47,-0.399337211,0.102533255,0.43448286,0,26.08695652,6,3.070891865,832.82,12.70963497,6.809814419,0.018663702,-0.907736582,0.137678904,-0.137678904,-15.06589323
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Consumer Finance,59150.54432,714.75,27.46703954,16.85016774,-33.58666942,10231.81,2907.6,754.09,-0.495452792,0.733795312,-0.729864302,-0.016381041,74.19354839,23,18.5729276,2153.51,28.41725951,5.78104405,0.04915593,0.158725197,-0.491521782,0.507902823,0.154355846
Canara Bank Ltd,CANBK,Public Banks,58772.63662,321.75,9.595783174,13.83544855,0,94256.89,9145.02,3020.18,1.552156631,0.465254961,0.306640496,0,76.92307692,10,-4.895104895,6124.84,9.702229726,0.623536769,0.155599962,8.212142329,2.324052088,-2.324052088,2.660660242
Punjab National Bank,PNB,Public Banks,58766.431,53.4,15.22154587,9.129022532,0,88571.12,4826.09,965.35,0.843980026,0.226284713,0.831229613,0,17.64705882,3,-25.09363296,3860.74,5.448830273,0.663494274,0.082123245,-0.060322062,1.901494352,-1.901494352,-1.982885827
UPL Ltd,UPL,Fertilizers & Agro Chemicals,58488.88563,774.85,16.13041523,22.68902632,14.01274311,46655,4966,1340,0.739033837,6.316639767,0.728854272,0,96.15384615,25,32.02555333,3626,10.64408959,1.253646675,0.08490502,-0.473248165,7.784527876,-7.784527876,0.456238519
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,Online Services,58040.00832,723,87.45047888,4.474517983,70.193325,1975.43,889.51,225.82,0.250880625,-0.0617235,-0.006075125,0,16.66666667,1,-16.25172891,663.69,45.0286773,29.38094912,0.015325808,-0.957658772,0.183082,-0.183082,-10.79909459
ICICI Lombard General Insurance Company Ltd,ICICIGI,Insurance,56869.12645,1175.7,44.74290448,17.48864284,9.838310955,16836.02,1683.52,412.5,0.644133916,-0.923454204,0.242012788,-0.006667739,70.83333333,17,24.39397806,1271.02,9.999512949,3.377824833,0.029603409,7.522711511,-0.0373075,0.043975239,-6.81449688
IDBI Bank Ltd,IDBI,Public Banks,56795.13999,54.3,22.41606675,-6.173950634,0,23277.74,2557.08,23.4,-0.047172454,0.022014244,0.000520349,0,0,0,-22.6519337,2533.68,10.98508704,2.439890642,0.045022866,0.382615369,-0.024637861,0.024637861,-2.768250551
